block_group,avg_cost_per_mbps,max_cost_per_mbps,number_of_addresses,holc_grade
60371927001,2.690860215053762,11.0,31,D
60371927002,12.357175925925926,71.61458333333333,9,D
60371941011,15.885706018518515,71.61458333333333,60,E
60371941021,50.622200520833324,71.61458333333333,32,E
60371941022,11.551175213675213,71.61458333333333,39,E
60371941023,7.323680555555558,71.61458333333333,30,E
60371942001,7.427770146520134,71.61458333333333,91,A
60371942002,20.805059523809522,71.61458333333333,56,A
60371943001,22.867876344086017,71.61458333333333,31,A
60371943002,57.297732843137226,71.61458333333333,34,A
60371943003,4.258680555555556,71.61458333333333,36,A
60371944011,0.8376693766937671,3.0555555555555554,41,C
60371944012,1.6347222222222224,5.5,20,C
60371944021,1.9148148148148147,11.0,24,C
60371944022,1.241025641025641,3.0555555555555554,13,C
60371944023,1.6011111111111114,11.0,40,B
60371945001,1.8129629629629629,5.5,27,C
60371945002,3.4025793650793643,11.0,56,C
60371951001,6.152831196581197,71.61458333333333,39,B
60371951002,27.978124999999988,71.61458333333333,22,E
60371951003,17.472812499999982,71.61458333333333,40,B
60371951004,7.597118794326243,71.61458333333333,47,B
60371952011,0.7752380952380955,5.5,35,B
60371952012,0.3666666666666668,2.2,37,B
60371952021,2.8391891891891885,11.0,37,B
60371952022,0.7583333333333335,2.2,44,B
60371952023,7.226881720430106,11.0,31,E
60371953001,3.0781893004115237,55.0,27,C
60371953002,2.1247863247863252,11.0,13,C
60371953003,3.578395061728393,11.0,45,C
60371954001,10.373916666666666,71.61458333333333,25,B
60371954002,4.80204678362573,11.0,38,D
60371954003,3.8430158730158723,11.0,35,B
60371954004,0.30680272108843554,5.5,49,B
60371955001,0.22846153846153858,2.2,65,C
60371955002,21.73179012345677,71.61458333333333,45,D
60371955003,0.18333333333333338,0.18333333333333332,36,C
60371955004,3.530208333333334,71.61458333333333,22,D
60371956001,2.211458333333333,11.0,16,C
60371956002,10.40686274509804,55.0,17,C
60371956003,0.18333333333333326,0.18333333333333332,16,C
60371956004,7.475925925925927,55.0,18,C
60371957101,6.035897435897436,55.0,26,D
60371957102,1.8474358974358975,11.0,13,D
60371957103,1.867283950617284,11.0,9,D
60371957201,6.652380952380954,55.0,21,D
60371957202,0.5630952380952382,5.5,14,D
60371958021,3.7342105263157905,55.0,19,D
60371958022,4.1461538461538465,11.0,26,D
60371958031,0.3038095238095239,2.2,35,C
60371958032,0.39623655913978506,2.2,31,D
60371958041,0.6984126984126986,11.0,21,D
60371958042,4.652702702702704,55.0,37,D
60371959011,2.4301418439716316,11.0,47,D
60371959021,1.9391025641025625,11.0,26,C
60371959022,0.7180555555555556,11.0,24,C
60371959031,0.5041666666666668,1.1,24,D
60371959032,0.41904761904761906,1.1,14,D
60371972001,0.18333333333333335,0.18333333333333332,34,D
60371972002,0.18333333333333335,0.18333333333333332,34,D
60371972003,3.754895833333335,71.61458333333333,20,D
60371973001,3.3084876543209885,55.0,36,C
60371973002,6.274074074074075,55.0,18,C
60371973003,1.7460317460317474,55.0,42,C
60371974101,2.848370181405896,71.61458333333333,49,C
60371974102,14.321426151761512,71.61458333333333,41,C
60371974103,0.18333333333333338,0.18333333333333332,36,C
60371974201,5.831309523809523,71.61458333333333,35,C
60371974202,6.182469512195125,71.61458333333333,41,C
60371975001,6.5386824324324335,71.61458333333333,37,D
60371975002,0.5563218390804598,11.0,29,D
60371975003,0.18333333333333324,0.18333333333333332,19,D
60371976001,17.172222222222224,55.0,9,D
60371976002,2.399509803921568,11.0,34,D
60371977001,14.219791666666667,71.61458333333333,26,D
60371977002,21.637152777777775,71.61458333333333,30,D
60371977003,22.061111111111114,55.0,3,D
60371991101,6.250839120370369,71.61458333333333,24,E
60371991102,1.6622222222222205,11.0,30,E
60371991201,9.683760683760681,55.0,26,D
60371991202,21.326822916666664,71.61458333333333,16,E
60371992011,2.35982905982906,5.5,13,D
60371992012,3.1240740740740747,11.0,33,D
60371992021,1.3269841269841272,11.0,28,D
60371992022,2.3348659003831416,11.0,29,D
60371993001,30.231784188034197,71.61458333333333,39,E
60371993002,5.190218676122931,71.61458333333333,47,D
60371994001,2.587037037037037,11.0,9,D
60371994002,13.294571596244129,71.61458333333333,71,E
60371994003,1.0282608695652176,11.0,23,D
60371997001,7.17037037037037,11.0,15,E
60371997002,5.251481481481481,11.0,15,E
60371999001,4.226851851851851,11.0,24,E
60371999002,4.746296296296296,11.0,21,E
60372011101,0.825,5.5,18,E
60372011102,0.741304347826087,2.2,23,E
60372011201,0.6464912280701756,5.5,19,C
60372011202,0.18333333333333335,0.18333333333333332,32,E
60372011203,0.9991666666666669,5.5,20,B
60372012001,0.6381410256410258,2.2,52,D
60372013011,39.15870726495727,71.61458333333333,26,D
60372013012,3.4062943262411354,71.61458333333333,47,E
60372013021,1.5481481481481483,2.2,9,E
60372013022,59.501851851851846,71.61458333333333,24,E
60372013023,2.4829506802721073,71.61458333333333,49,E
60372014011,15.178885135135134,71.61458333333333,37,C
60372014012,1.883968253968253,55.0,35,E
60372014021,1.3628930817610063,2.2,53,E
60372014022,1.137931034482759,5.5,29,E
60372014023,5.713664215686275,71.61458333333333,34,E
60372015011,0.1833333333333333,0.18333333333333332,25,C
60372015012,1.0256756756756762,2.2,37,C
60372015013,3.8374382716049387,71.61458333333333,45,C
60372015031,10.453273809523811,71.61458333333333,28,C
60372015032,2.646479885057473,71.61458333333333,29,C
60372015041,0.42500000000000016,1.1,44,C
60372016011,3.689133986928102,71.61458333333333,51,C
60372016021,0.5892857142857143,1.1,28,C
60372016022,6.801268115942024,71.61458333333333,23,C
60372016023,0.8799999999999999,1.1,20,C
60372017001,1.334666666666667,11.0,25,C
60372017002,3.877690972222221,71.61458333333333,24,C
60372017003,0.9574074074074077,5.5,18,C
60372031001,5.6499999999999995,55.0,11,D
60372031002,23.507175925925928,71.61458333333333,33,D
60372031003,26.33611111111111,71.61458333333333,33,D
60372032001,1.5209876543209877,55.0,54,D
60372032002,2.824999999999998,55.0,22,D
60372033001,20.288411458333332,71.61458333333333,16,D
60372035001,25.328645833333333,71.61458333333333,8,D
60372035002,59.640625,71.61458333333333,12,E
60372035003,1.83654970760234,11.0,19,D
60372037101,0.1833333333333333,0.18333333333333332,14,D
60372037102,0.6875,2.2,28,D
60372037201,6.710218253968256,71.61458333333333,21,D
60372037202,0.6477777777777778,1.1,15,D
60372038001,0.9166666666666665,2.2,18,D
60372038002,0.2658333333333333,1.1,20,D
60372038003,0.3753968253968254,1.1,21,D
60372038004,0.18333333333333326,0.18333333333333332,16,D
60372039001,1.5237037037037038,5.5,15,D
60372039002,1.3800925925925924,3.0555555555555554,12,D
60372041101,0.6555555555555556,3.0555555555555554,22,E
60372041102,1.7671296296296297,11.0,12,D
60372041103,0.3666666666666667,0.7333333333333333,17,D
60372041201,4.969298245614034,11.0,19,D
60372041202,0.6775362318840579,2.2,23,D
60372042001,3.422222222222221,11.0,15,D
60372042002,3.254830917874395,11.0,23,D
60372043001,1.1666666666666667,11.0,11,D
60372043002,0.18333333333333335,0.18333333333333332,32,D
60372043003,2.6794871794871797,11.0,13,D
60372044101,1.5430555555555558,11.0,12,D
60372044102,0.6039215686274508,0.7333333333333333,17,D
60372044201,0.5614583333333334,1.1,16,D
60372044202,0.40333333333333327,1.1,15,D
60372046001,0.6243243243243246,11.0,37,D
60372046002,0.8587719298245614,11.0,19,D
60372047001,2.063398692810457,55.0,51,D
60372047002,2.460526315789473,11.0,19,D
60372047003,0.7474358974358977,1.1,26,D
60372048101,0.41904761904761917,2.2,28,D
60372048102,0.4702898550724639,1.1,23,D
60372048103,0.3079059829059829,3.0555555555555554,26,D
60372048201,3.2607142857142866,11.0,14,D
60372048202,1.8726190476190478,11.0,28,D
60372049101,0.7758928571428569,3.0555555555555554,56,D
60372049201,0.1833333333333334,0.18333333333333332,44,D
60372049202,4.737719298245615,11.0,19,D
60372051101,30.02956349206349,71.61458333333333,14,D
60372051201,4.095597484276731,11.0,53,D
60372051202,33.89857456140351,71.61458333333333,19,D
60372060101,7.50925245098039,71.61458333333333,34,E
60372060102,8.380263157894738,11.0,38,E
60372060201,42.6093201754386,71.61458333333333,19,E
60372060501,53.04166666666666,71.61458333333333,11,D
60372071011,1.2765432098765435,3.0555555555555554,9,D
60372071021,6.016049382716051,11.0,18,E
60372071031,1.3740740740740744,3.0555555555555554,33,D
60372071032,8.480864197530863,55.0,18,D
60372074001,5.263194444444443,11.0,48,E
60372075011,4.915625,11.0,16,D
60372075021,2.8563786008230463,5.5,27,E
60372083011,3.4206552706552666,5.5,78,C
60372083021,2.505555555555555,5.5,12,D
60372083022,2.261111111111111,5.5,15,D
60372083023,5.151666666666667,11.0,20,C
60372084011,4.380845771144275,55.0,67,C
60372084012,1.7612535612535618,11.0,78,C
60372084021,2.780555555555556,11.0,20,D
60372084022,0.636842105263158,3.0555555555555554,19,D
60372085011,2.04212962962963,11.0,12,D
60372085012,6.449259259259259,55.0,15,D
60372085021,1.4488425925925927,11.0,48,C
60372085022,2.7587301587301587,5.5,7,C
60372085023,1.8638888888888887,5.5,8,C
60372086101,4.005128205128205,11.0,26,D
60372086102,6.025555555555556,11.0,15,C
60372086201,1.7686274509803923,11.0,17,D
60372086202,5.651555555555555,11.0,25,C
60372086203,1.972222222222222,5.5,11,C
60372087101,4.231944444444442,11.0,64,C
60372087201,1.57008547008547,3.0555555555555554,13,C
60372087202,3.303594771241831,11.0,34,E
60372088011,4.872316384180791,11.0,59,E
60372088012,1.5309941520467838,3.0555555555555554,19,C
60372088021,2.1247863247863252,11.0,13,C
60372088022,2.090547263681591,11.0,67,E
60372089021,5.857407407407408,11.0,33,E
60372089022,5.796296296296295,11.0,33,E
60372089031,6.6561164529914505,71.61458333333333,26,C
60372089032,7.159713648834019,71.61458333333333,81,E
60372089041,4.347398030942331,11.0,79,C
60372089042,5.770201210826207,71.61458333333333,78,C
60372091031,5.75462962962963,11.0,12,C
60372091041,3.7859078590785904,11.0,41,C
60372093001,7.55,11.0,11,D
60372093002,7.1998538011695885,55.0,38,D
60372094011,1.726388888888889,5.5,12,D
60372094012,1.574786324786324,3.0555555555555554,78,D
60372094021,1.8297385620915034,5.5,51,D
60372094022,6.518518518518518,11.0,9,D
60372094031,8.433333333333334,11.0,30,D
60372094032,1.0181111111111114,3.0555555555555554,50,D
60372095101,3.5245833333333336,11.0,40,D
60372095102,1.90071225071225,11.0,78,D
60372095201,5.0636150234741795,55.0,71,D
60372095202,4.826851851851852,11.0,66,D
60372098101,5.575213675213672,55.0,65,D
60372098102,5.757026143790849,11.0,34,D
60372098201,6.6,11.0,10,D
60372098202,9.459999999999999,11.0,10,D
60372100101,9.017283950617283,11.0,9,D
60372100102,9.166666666666666,11.0,6,D
60372100103,5.870567375886527,11.0,47,D
60372110001,1.847435897435896,11.0,26,B
60372110002,8.696581196581196,11.0,13,A
60372110003,4.065686274509804,11.0,17,B
60372110004,1.9073099415204682,5.5,19,B
60372110005,4.623188405797102,55.0,23,A
60372111211,4.896527777777779,71.61458333333333,55,D
60372111212,2.713333333333334,11.0,10,C
60372111221,25.666666666666668,55.0,3,C
60372111222,24.739814814814807,71.61458333333333,66,C
60372112011,1.0175000000000003,2.2,40,C
60372112012,0.8038461538461541,2.2,13,C
60372112021,49.5,55.0,8,C
60372113101,0.9898148148148145,3.0555555555555554,66,C
60372113102,1.2055555555555557,3.0555555555555554,11,C
60372113201,28.435763888888886,71.61458333333333,6,C
60372113202,32.23065476190476,71.61458333333333,7,C
60372114101,5.887946428571427,71.61458333333333,14,C
60372114102,27.143168402777757,71.61458333333333,80,C
60372114201,0.9044444444444444,3.0555555555555554,20,C
60372114202,14.434771825396824,71.61458333333333,14,C
60372115001,26.509490740740745,71.61458333333333,21,C
60372115002,32.27743055555556,71.61458333333333,22,C
60372115003,4.277777777777779,55.0,27,B
60372117011,7.949791666666664,71.61458333333333,10,C
60372117012,4.45,11.0,11,B
60372117013,31.346726190476183,71.61458333333333,7,C
60372117031,26.76001984126983,71.61458333333333,77,C
60372117032,17.642855461393587,71.61458333333333,59,C
60372117041,21.65795869883041,71.61458333333333,76,C
60372117042,3.8244186046511617,11.0,43,C
60372118021,13.322222222222221,55.0,7,E
60372118022,14.716809116809118,55.0,39,E
60372118031,22.903086419753095,55.0,27,C
60372118032,1.1763888888888892,3.0555555555555554,24,C
60372118041,20.62003472222222,71.61458333333333,60,C
60372118042,57.16711956521739,71.61458333333333,46,C
60372119101,7.516666666666666,55.0,8,C
60372119102,4.24156378600823,11.0,27,C
60372119103,1.9496415770609328,3.0555555555555554,31,C
60372119211,7.555291471048514,71.61458333333333,71,C
60372119221,7.34186046511628,55.0,43,C
60372119222,1.425925925925926,3.0555555555555554,36,C
60372121011,6.955882352941175,11.0,34,C
60372121012,6.193424036281179,11.0,49,E
60372121021,8.066666666666666,11.0,11,E
60372121022,15.583333333333334,55.0,24,C
60372122021,4.45392156862745,55.0,17,C
60372122022,1.2833333333333337,5.5,8,C
60372122031,3.3794444444444443,5.5,20,C
60372122032,4.18993055555555,71.61458333333333,62,C
60372122041,2.643650793650791,5.5,77,C
60372122042,1.5422916666666662,11.0,80,C
60372123031,3.5444444444444443,5.5,5,C
60372123041,5.079273504273505,11.0,52,E
60372123051,6.196666666666666,11.0,15,C
60372123061,4.927777777777778,11.0,11,C
60372123062,4.541025641025641,11.0,13,C
60372124101,12.193121693121693,55.0,21,C
60372124102,6.823599340866288,71.61458333333333,59,C
60372124201,8.320428876678871,71.61458333333333,91,C
60372124202,5.09077380952381,11.0,56,C
60372125011,6.471666666666667,55.0,10,C
60372125021,11.027262931034484,71.61458333333333,58,C
60372125022,6.592478632478635,11.0,65,C
60372126101,53.311805555555544,71.61458333333333,9,B
60372126102,29.269526143790852,71.61458333333333,17,B
60372126201,1.2385185185185186,3.0555555555555554,15,B
60372126202,2.5,11.0,11,B
60372127011,19.035792824074072,71.61458333333333,48,B
60372127021,3.752941176470586,55.0,17,B
60372127022,0.7027777777777777,2.2,18,B
60372127023,8.26797385620915,11.0,17,A
60372128001,0.25934959349593506,1.1,41,B
60372128002,6.251666666666668,55.0,20,B
60372128003,7.554622395833334,71.61458333333333,32,B
60372129001,1.0956349206349212,3.0555555555555554,28,B
60372129002,1.4281893004115234,3.0555555555555554,27,B
60372131001,16.21014660493827,71.61458333333333,18,B
60372131002,7.0407306763285025,71.61458333333333,23,B
60372132011,2.5085365853658512,11.0,82,D
60372132012,14.63038194444445,71.61458333333333,12,D
60372132013,17.82326388888888,71.61458333333333,44,D
60372132021,3.1472222222222217,11.0,22,D
60372132022,12.969485294117646,71.61458333333333,17,D
60372133101,2.7765700483091784,11.0,23,D
60372133102,1.107971014492754,5.5,23,D
60372133201,6.531699346405228,11.0,17,D
60372133202,6.200980392156863,11.0,17,D
60372134011,2.442647058823528,11.0,68,C
60372134012,1.6246825396825397,3.0555555555555554,70,C
60372134021,3.85,11.0,14,C
60372134022,5.830342970521541,71.61458333333333,49,C
60372134023,1.5481481481481485,11.0,15,C
60372140001,0.7712643678160921,11.0,29,B
60372140002,0.5245370370370371,3.0555555555555554,24,B
60372140003,0.2275862068965518,0.7333333333333333,29,B
60372140004,0.4670634920634922,3.0555555555555554,28,C
60372141001,0.33263888888888893,1.1,24,C
60372141002,4.800555555555556,11.0,30,B
60372141003,0.6212962962962965,5.5,18,C
60372141004,0.34702380952380957,1.1,28,C
60372144001,0.3422222222222223,1.1,30,C
60372144002,0.488888888888889,1.1,24,C
60372144003,0.42777777777777776,0.7333333333333333,24,C
60372145011,0.3504901960784314,5.5,34,E
60372145012,2.0804347826086937,11.0,23,E
60372145013,1.2763492063492061,11.0,70,E
60372145031,0.25625000000000003,1.1,24,E
60372145032,0.18333333333333332,0.18333333333333332,9,E
60372145033,0.3666666666666666,1.1,7,E
60372146001,4.774814814814814,55.0,15,C
60372146002,0.4827777777777779,1.1,30,C
60372146003,0.7192307692307693,1.1,26,C
60372147001,0.24247311827956994,1.1,31,C
60372147002,2.213580246913579,55.0,27,B
60372147003,0.19642857142857142,0.55,28,B
60372148001,0.7250000000000001,1.1,22,C
60372148002,0.8880208333333335,11.0,32,C
60372148003,6.632352941176472,55.0,17,B
60372149021,7.26,11.0,10,E
60372149022,1.5496031746031746,5.5,14,C
60372151011,1.4813642756680727,11.0,79,C
60372151012,1.3406250000000008,3.0555555555555554,48,C
60372151021,1.6688034188034186,3.0555555555555554,13,C
60372151022,1.1174603174603175,3.0555555555555554,14,C
60372161001,1.0601449275362322,5.5,23,B
60372161002,0.1833333333333334,0.18333333333333332,43,B
60372161003,0.6971193415637862,5.5,27,B
60372164011,16.999965277777783,71.61458333333333,20,C
60372164012,0.8532921810699592,3.0555555555555554,27,C
60372164021,0.48125000000000007,2.2,16,C
60372164022,0.5156250000000001,1.1,16,C
60372167001,45.66746031746032,71.61458333333333,21,B
60372167002,0.21999999999999992,1.1,25,B
60372167003,4.138626126126128,71.61458333333333,37,B
60372168001,5.367083333333336,71.61458333333333,35,B
60372168002,0.2790740740740742,3.0555555555555554,30,B
60372168003,0.2416666666666667,1.1,22,B
60372168004,7.243303571428574,71.61458333333333,28,B
60372170011,8.607663690476192,71.61458333333333,28,C
60372170012,4.46984126984127,55.0,28,C
60372170013,16.628333333333334,55.0,10,C
60372170021,5.377777777777776,55.0,23,C
60372170022,9.203906250000001,71.61458333333333,24,C
60372170023,15.54968971631205,71.61458333333333,47,B
60372172001,0.29569892473118287,2.2,31,B
